*GUI(1)*UserPrjDat:D:\OKOMA\Project_HMI_HCTDesigner_2.5\Bin\fshmi.bin
*GUI(1)*PicResDir:D:\OKOMA\Project_HMI_HCTDesigner_2.5\Bin\Images\
*GUI(1)*TtfResDir:D:\OKOMA\Project_HMI_HCTDesigner_2.5\Bin\Fonts\
*GUI(1)*AudResDir:D:\OKOMA\Project_HMI_HCTDesigner_2.5\Bin\Audio\
*GUI(1)*PlcDrvDir:D:\OKOMA\Project_HMI_HCTDesigner_2.5\Bin\Device\
*GUI(1)*MacroDir:D:\OKOMA\Project_HMI_HCTDesigner_2.5\Bin\Macro\
*GUI(1)*RcpDir:D:\OKOMA\Project_HMI_HCTDesigner_2.5\temp\disk\hmi\rcp\
*GUI(1)*SysFrmBuf:<XPixs>800</XPixs><YPixs>480</YPixs><ColorBits>16</ColorBits>
*GUI(1)*HmiDir:D:\OKOMA\Project_HMI_HCTDesigner_2.5\temp\disk\hmi\
*GUI(1)*SdDir:D:\OKOMA\Project_HMI_HCTDesigner_2.5\temp\disk\sd\
*GUI(1)*Usb1Dir:D:\OKOMA\Project_HMI_HCTDesigner_2.5\temp\disk\usb1\
*GUI(1)*Usb2Dir:C:\Program Files (x86)\HCFA\HCTDesigner 2.x\Bin\
*GUI(1)*MemFs:D:\OKOMA\Project_HMI_HCTDesigner_2.5\temp\ramdisk\
*GUI(1)*RunMode:SimPlc
*GUI(1)*Debug:N
*GUI(1)*SysFontDir:C:\Program Files (x86)\HCFA\HCTDesigner 2.x\Lib\Fonts\
*GUI(1)*MapPort:1234
*GUI(1)*ProjectCheckSum(0x2797de1, 0x2797d07)
*GUI(1)*ClientMonit::Pid(0)
*GUI(1)*LightSave 0 BackLight 10 LightPercent 3
*GUI(1)*DoLoadTtfFile::Pid(0)
*GUI(1)*loadTtfFile(C:\Program Files (x86)\HCFA\HCTDesigner 2.x\Lib\Fonts\puhui-regular.ttf) OK
*GUI(1)*loadTtfFile(D:\OKOMA\Project_HMI_HCTDesigner_2.5\Bin\Fonts\ARIAL.TTF) OK
*GUI(1)*Touch::Pid(0)
*GUI(1801)*TOUCH_DOWN:(144,456)
*GUI(2001)*TOUCH_UP:(143,457)
*GUI(2201)*TOUCH_DOWN:(198,455)
*GUI(2201)*MacMonitor(5)::Pid(0)
*GUI(2501)*TOUCH_UP:(198,457)
*GUI(11001)*TOUCH_DOWN:(159,370)
*GUI(11101)*TOUCH_UP:(159,370)
*GUI(12101)*TOUCH_DOWN:(202,230)
*GUI(12101)*TOUCH_UP:(202,230)
*GUI(13501)*TOUCH_DOWN:(201,208)
*GUI(13601)*TOUCH_UP:(201,208)
*GUI(14601)*TOUCH_DOWN:(202,208)
*GUI(14701)*TOUCH_UP:(202,208)
*GUI(26301)*TOUCH_DOWN:(189,195)
*GUI(26401)*TOUCH_UP:(189,195)
*GUI(27501)*CLICK_DOUBLE:(214,192)
*GUI(27701)*TOUCH_UP:(214,192)
*GUI(28801)*TOUCH_DOWN:(111,73)
*GUI(28901)*TOUCH_UP:(110,72)
*GUI(29501)*TOUCH_DOWN:(110,72)
*GUI(29501)*TOUCH_UP:(110,72)
*GUI(130301)*TOUCH_DOWN:(113,70)
*GUI(130401)*TOUCH_UP:(113,69)
*GUI(131201)*TOUCH_DOWN:(99,145)
*GUI(131201)*TOUCH_UP:(100,145)
*GUI(131801)*CLICK_DOUBLE:(102,154)
*GUI(131801)*TOUCH_UP:(103,154)
*GUI(226901)*TOUCH_DOWN:(109,234)
*GUI(227001)*TOUCH_UP:(109,234)
*GUI(228401)*TOUCH_DOWN:(145,75)
*GUI(228401)*TOUCH_UP:(145,75)
*GUI(228901)*TOUCH_DOWN:(191,184)
*GUI(229001)*TOUCH_UP:(191,184)
*GUI(300601)*TOUCH_DOWN:(85,232)
*GUI(300701)*TOUCH_UP:(86,230)
*GUI(302401)*TOUCH_DOWN:(114,80)
*GUI(302401)*TOUCH_UP:(115,80)
*GUI(313401)*TOUCH_DOWN:(89,220)
*GUI(313401)*TOUCH_UP:(89,220)
*GUI(313801)*TOUCH_DOWN:(112,51)
*GUI(313901)*TOUCH_UP:(112,51)
*GUI(322001)*TOUCH_DOWN:(115,179)
*GUI(322101)*TOUCH_UP:(115,179)
*GUI(322901)*TOUCH_DOWN:(216,185)
*GUI(323001)*TOUCH_UP:(216,185)
*GUI(323301)*TOUCH_DOWN:(217,185)
*GUI(323401)*TOUCH_UP:(217,185)
*GUI(452301)*TOUCH_DOWN:(30,374)
*GUI(452301)*TOUCH_UP:(30,374)
*GUI(452901)*TOUCH_DOWN:(123,367)
*GUI(452901)*TOUCH_UP:(123,367)
*GUI(454201)*TOUCH_DOWN:(217,228)
*GUI(454201)*TOUCH_UP:(217,228)
*GUI(478501)*TOUCH_DOWN:(534,288)
*GUI(478601)*TOUCH_UP:(534,288)
*GUI(479401)*TOUCH_DOWN:(401,329)
*GUI(479501)*TOUCH_UP:(401,329)
*GUI(479901)*TOUCH_DOWN:(388,436)
*GUI(479901)*TOUCH_UP:(388,436)
*GUI(611001)*TOUCH_DOWN:(85,166)
*GUI(611101)*TOUCH_UP:(85,166)
*GUI(618901)*CLICK_DOUBLE:(116,169)
*GUI(619001)*TOUCH_UP:(116,169)
*GUI(619501)*TOUCH_DOWN:(85,177)
*GUI(619601)*TOUCH_UP:(85,177)
*GUI(627101)*TOUCH_DOWN:(121,179)
*GUI(627201)*TOUCH_UP:(121,179)
*GUI(627901)*TOUCH_DOWN:(89,183)
*GUI(628001)*TOUCH_UP:(89,183)
*GUI(628701)*CLICK_DOUBLE:(89,183)
*GUI(628801)*TOUCH_UP:(89,183)
*GUI(629101)*TOUCH_DOWN:(89,184)
*GUI(629101)*TOUCH_UP:(89,184)
*GUI(632401)*CLICK_DOUBLE:(89,185)
*GUI(632401)*TOUCH_UP:(89,185)
*GUI(633401)*TOUCH_DOWN:(123,186)
*GUI(633501)*TOUCH_UP:(123,186)
*GUI(633901)*CLICK_DOUBLE:(124,186)
*GUI(633901)*TOUCH_UP:(125,187)
*GUI(634501)*TOUCH_DOWN:(221,186)
*GUI(634601)*TOUCH_UP:(220,186)
*GUI(636301)*TOUCH_DOWN:(106,187)
*GUI(636401)*TOUCH_UP:(106,187)
*GUI(637501)*CLICK_DOUBLE:(105,186)
*GUI(637601)*TOUCH_UP:(105,186)
*GUI(640301)*TOUCH_DOWN:(116,186)
*GUI(640401)*TOUCH_UP:(116,186)
*GUI(641301)*CLICK_DOUBLE:(112,191)
*GUI(641301)*TOUCH_UP:(98,201)
*GUI(641901)*TOUCH_DOWN:(198,208)
*GUI(642001)*TOUCH_UP:(198,208)
*GUI(642601)*TOUCH_DOWN:(235,204)
